instrument,staff,measureNumber,offset,duration,frequency,step,octave
Piano,,12,46.25,0.25,830.6093951598907,G,5
Piano,,12,46.5,0.25,554.3652619537443,C,5
Piano,,12,46.5,0.5,329.62755691286986,E,4
Piano,,12,46.75,0.25,830.6093951598907,G,5
Piano,,12,47.0,0.25,523.2511306011974,B,4
Piano,,12,47.0,0.5,311.1269837220808,D,4
Piano,,12,47.25,0.25,830.6093951598907,G,5
Piano,,12,47.5,0.25,440.0,A,4
Piano,,12,47.5,0.5,277.182630976872,C,4
Piano,,12,47.75,0.25,783.990871963499,F,5
Piano,,13,48.0,0.25,415.3046975799451,G,4
Piano,,13,48.25,0.25,830.6093951598907,G,5
Piano,,13,48.5,0.25,440.0,A,4
Piano,,13,48.75,0.25,783.990871963499,F,5
Piano,,13,49.0,0.25,415.3046975799451,G,4
Piano,,13,49.25,0.25,830.6093951598907,G,5
Piano,,13,49.5,0.25,440.0,A,4
Piano,,13,49.75,0.25,783.990871963499,F,5
Piano,,13,50.0,0.25,415.3046975799451,G,4
Piano,,13,50.25,0.25,830.6093951598907,G,5
Piano,,13,50.5,0.25,440.0,A,4
Piano,,13,50.75,0.25,783.990871963499,F,5
Piano,,13,51.0,0.25,415.3046975799451,G,4
Piano,,13,51.25,0.25,830.6093951598907,G,5
Piano,,13,51.5,0.25,440.0,A,4
Piano,,13,51.75,0.25,783.990871963499,F,5
Piano,,14,52.0,1.0,415.3046975799451,G,4
Piano,,14,52.0,1.0,830.6093951598907,G,5
Piano,,14,53.0,3.0,207.65234878997245,G,3
Piano,,15,56.0,0.25,0.0,G,3
Piano,,15,58.0,0.25,277.182630976872,C,4
Piano,,15,58.75,0.25,277.182630976872,C,4
Piano,,15,59.0,0.25,329.62755691286986,E,4
Piano,,15,59.25,0.25,207.65234878997245,G,3
Piano,,15,59.5,0.25,277.182630976872,C,4
Piano,,15,59.75,0.25,329.62755691286986,E,4
Piano,,16,60.0,0.25,415.3046975799451,G,4
Piano,,16,60.25,0.25,277.182630976872,C,4
Piano,,16,60.5,0.25,329.62755691286986,E,4
Piano,,16,60.75,0.25,415.3046975799451,G,4
Piano,,16,61.0,0.25,554.3652619537443,C,5
Piano,,16,61.25,0.25,329.62755691286986,E,4
Piano,,16,61.5,0.25,415.3046975799451,G,4
Piano,,16,61.75,0.25,554.3652619537443,C,5
Piano,,16,62.0,0.25,659.2551138257401,E,5
Piano,,16,62.25,0.25,659.2551138257401,E,5
Piano,,16,62.5,0.25,830.6093951598907,G,5
Piano,,16,62.75,0.25,1108.7305239074892,C,6
Piano,,16,63.0,0.5,659.2551138257401,E,5
Piano,,16,63.0,0.5,1318.5102276514808,E,6
Piano,,16,63.5,0.5,659.2551138257401,E,5
Piano,,16,63.5,0.5,1318.5102276514808,E,6
Piano,,17,64.0,0.25,0.0,E,6
Piano,,17,64.75,0.25,277.182630976872,C,4
Piano,,17,65.0,0.25,329.62755691286986,E,4
Piano,,17,65.5,0.25,277.182630976872,C,4
Piano,,17,65.75,0.25,329.62755691286986,E,4
Piano,,17,66.0,0.25,391.99543598174927,F,4
Piano,,17,66.25,0.25,277.182630976872,C,4
Piano,,17,66.5,0.25,329.62755691286986,E,4
Piano,,17,66.75,0.25,391.99543598174927,F,4
Piano,,17,67.0,0.25,554.3652619537443,C,5
Piano,,17,67.25,0.25,329.62755691286986,E,4
Piano,,17,67.5,0.25,391.99543598174927,F,4
Piano,,17,67.75,0.25,554.3652619537443,C,5
Piano,,18,68.0,0.25,659.2551138257401,E,5
Piano,,18,68.25,0.25,391.99543598174927,F,4
Piano,,18,68.5,0.25,554.3652619537443,C,5
Piano,,18,68.75,0.25,659.2551138257401,E,5
Piano,,18,69.0,0.25,783.990871963499,F,5
Piano,,18,69.25,0.25,554.3652619537443,C,5
Piano,,18,69.5,0.25,659.2551138257401,E,5
Piano,,18,69.75,0.25,783.990871963499,F,5
Piano,,18,70.0,0.25,1108.7305239074892,C,6
Piano,,18,70.25,0.25,659.2551138257401,E,5
Piano,,18,70.5,0.25,783.990871963499,F,5
Piano,,18,70.75,0.25,1108.7305239074892,C,6
Piano,,18,71.0,0.5,659.2551138257401,E,5
Piano,,18,71.0,0.5,1318.5102276514808,E,6
Piano,,18,71.5,0.5,659.2551138257401,E,5
Piano,,18,71.5,0.5,1318.5102276514808,E,6
Piano,,19,72.0,0.25,0.0,E,6
Piano,,19,74.0,0.25,466.1637615180899,A,4
Piano,,19,74.25,0.25,277.182630976872,C,4
Piano,,19,74.5,0.25,311.1269837220808,D,4
Piano,,19,74.75,0.25,466.1637615180899,A,4
Piano,,19,75.0,0.25,554.3652619537443,C,5
Piano,,19,75.25,0.25,311.1269837220808,D,4
Piano,,19,75.5,0.25,466.1637615180899,A,4
Piano,,19,75.75,0.25,554.3652619537443,C,5
Piano,,20,76.0,0.25,622.253967444162,D,5
Piano,,20,76.25,0.25,466.1637615180899,A,4
Piano,,20,76.5,0.25,554.3652619537443,C,5
Piano,,20,76.75,0.25,622.253967444162,D,5
Piano,,20,77.0,0.25,932.3275230361803,A,5
Piano,,20,77.25,0.25,554.3652619537443,C,5
Piano,,20,77.5,0.25,622.253967444162,D,5
Piano,,20,77.75,0.25,932.3275230361803,A,5
Piano,,20,78.0,0.25,1108.7305239074892,C,6
Piano,,20,78.25,0.25,932.3275230361803,A,5
Piano,,20,78.5,0.25,622.253967444162,D,5
Piano,,20,78.75,0.25,554.3652619537443,C,5
Piano,,20,79.0,0.25,932.3275230361803,A,5
Piano,,20,79.25,0.25,622.253967444162,D,5
Piano,,20,79.5,0.25,554.3652619537443,C,5
Piano,,20,79.75,0.25,466.1637615180899,A,4
Piano,,21,80.0,1.0,493.8833012561241,B,4
Piano,,21,81.0,2.0,622.253967444162,D,5
Piano,,21,83.0,0.75,493.8833012561241,B,4
Piano,,21,83.75,0.25,415.3046975799451,G,4
Piano,,22,84.0,0.0,391.99543598174927,F,4
Piano,,22,84.0,0.0,415.3046975799451,G,4
Piano,,22,84.0,0.0,466.1637615180899,A,4
Piano,,22,84.0,1.0,415.3046975799451,G,4
Piano,,22,85.0,1.0,391.99543598174927,F,4
